pit_lap,total_time,total_minutes
15,5599.814,93.33023333333334
16,5595.651,93.26084999999999
17,5591.811,93.19685
18,5588.435999999999,93.14059999999998
19,5584.752,93.0792
20,5581.507,93.02511666666666
21,5578.713,92.97855
22,5576.877,92.94795
23,5575.749000000001,92.92915
24,5574.958,92.91596666666666
25,5574.546,92.90910000000001
26,5574.810000000001,92.91350000000003
27,5575.016000000001,92.91693333333336
28,5575.803000000001,92.93005000000001
29,5577.303,92.95505
30,5581.266000000001,93.02110000000002
31,5585.355000000001,93.08925000000002
32,5589.423000000002,93.15705000000003
33,5593.077000000001,93.21795000000002
34,5597.027000000001,93.28378333333335
35,5600.660000000001,93.34433333333335
36,5604.933000000001,93.41555000000001
37,5608.987000000001,93.48311666666669
38,5613.462000000001,93.55770000000003
39,5618.249,93.63748333333334
40,5622.924000000001,93.71540000000002
