pit_lap,stint_1_laps,stint_2_laps,total_time,total_minutes,pit_range
20,20,38,5104.174119140965,85.06956865234942,"(19.985, 23.75]"
21,21,37,5102.042459933449,85.03404099889082,"(19.985, 23.75]"
22,22,36,5099.522455917634,84.99204093196057,"(19.985, 23.75]"
23,23,35,5097.945530359154,84.96575883931924,"(19.985, 23.75]"
24,24,34,5096.274715966114,84.93791193276857,"(23.75, 27.5]"
25,25,33,5095.60898726516,84.92681645441934,"(23.75, 27.5]"
26,26,32,5095.009162109644,84.91681936849407,"(23.75, 27.5]"
27,27,31,5094.428919236247,84.90714865393744,"(23.75, 27.5]"
28,28,30,5093.304071241217,84.88840118735361,"(27.5, 31.25]"
29,29,29,5091.693116001923,84.86155193336539,"(27.5, 31.25]"
30,30,28,5090.730927327048,84.84551545545081,"(27.5, 31.25]"
31,31,27,5090.557862291,84.84263103818333,"(27.5, 31.25]"
32,32,26,5090.930291958282,84.84883819930471,"(31.25, 35.0]"
33,33,25,5092.698037682385,84.87830062803975,"(31.25, 35.0]"
34,34,24,5095.058367761934,84.9176394626989,"(31.25, 35.0]"
35,35,23,5097.478718881079,84.95797864801798,"(31.25, 35.0]"
